
> admin-panel@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3001

▲ Next.js 16.1.1 (Turbopack)
- Local:         http://127.0.0.1:3001
- Network:       http://127.0.0.1:3001
- Environments: .env.local

✓ Starting...
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 120ms (compile: 100ms, render: 20ms)
 GET /api/admin/cuisines 200 in 169ms (compile: 1724µs, render: 168ms)
 GET /api/admin/recipes?id=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 174ms (compile: 4ms, render: 170ms)
 GET /api/admin/cuisines 200 in 122ms (compile: 3ms, render: 119ms)
 GET /api/admin/recipes?id=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 131ms (compile: 1208µs, render: 130ms)
✓ Compiled in 642ms
✓ Compiled in 1213ms
✓ Compiled in 1ms
 GET /products 200 in 1958ms (compile: 1211ms, render: 747ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 1980ms (compile: 1431ms, render: 550ms)
 GET /catalogs 200 in 1944ms (compile: 1677ms, render: 267ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 333ms (compile: 5ms, render: 328ms)
 GET /products 200 in 361ms (compile: 22ms, render: 339ms)
 GET /catalogs 200 in 377ms (compile: 45ms, render: 332ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 339ms (compile: 27ms, render: 312ms)
 GET /products 200 in 280ms (compile: 38ms, render: 242ms)
 GET /catalogs 200 in 249ms (compile: 8ms, render: 241ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 302ms (compile: 21ms, render: 281ms)
 GET /products 200 in 251ms (compile: 3ms, render: 248ms)
 GET /catalogs 200 in 308ms (compile: 8ms, render: 300ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 295ms (compile: 4ms, render: 291ms)
 GET /products 200 in 295ms (compile: 23ms, render: 273ms)
 GET /catalogs 200 in 258ms (compile: 13ms, render: 245ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 441ms (compile: 151ms, render: 291ms)
 GET /products 200 in 312ms (compile: 42ms, render: 270ms)
 GET /catalogs 200 in 332ms (compile: 10ms, render: 322ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 330ms (compile: 17ms, render: 312ms)
 GET /products 200 in 328ms (compile: 176ms, render: 152ms)
 GET /catalogs 200 in 131ms (compile: 5ms, render: 127ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 271ms (compile: 11ms, render: 260ms)
 GET /products 200 in 264ms (compile: 35ms, render: 229ms)
 GET /catalogs 200 in 279ms (compile: 8ms, render: 271ms)
 GET /products 200 in 280ms (compile: 56ms, render: 224ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 282ms (compile: 32ms, render: 250ms)
 GET /catalogs 200 in 115ms (compile: 4ms, render: 111ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 126ms (compile: 11ms, render: 115ms)
 GET /products 200 in 92ms (compile: 1628µs, render: 91ms)
 GET /catalogs 200 in 61ms (compile: 4ms, render: 57ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 62ms (compile: 11ms, render: 52ms)
 GET /products 200 in 63ms (compile: 18ms, render: 45ms)
 GET /catalogs 200 in 37ms (compile: 1282µs, render: 36ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 57ms (compile: 1090µs, render: 56ms)
 GET /products 200 in 68ms (compile: 1190µs, render: 67ms)
 GET /catalogs 200 in 66ms (compile: 3ms, render: 63ms)
 GET /products 200 in 65ms (compile: 16ms, render: 49ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 66ms (compile: 10ms, render: 56ms)
 GET /catalogs 200 in 55ms (compile: 1410µs, render: 53ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 55ms (compile: 1556µs, render: 53ms)
 GET /products 200 in 54ms (compile: 1521µs, render: 52ms)
 GET /catalogs 200 in 63ms (compile: 1612µs, render: 61ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 64ms (compile: 9ms, render: 54ms)
 GET /products 200 in 65ms (compile: 18ms, render: 47ms)
 GET /catalogs 200 in 66ms (compile: 3ms, render: 63ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 57ms (compile: 2ms, render: 55ms)
 GET /products 200 in 59ms (compile: 1458µs, render: 58ms)
 GET /catalogs 200 in 63ms (compile: 1548µs, render: 62ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 64ms (compile: 10ms, render: 54ms)
 GET /products 200 in 65ms (compile: 18ms, render: 46ms)
 GET /catalogs 200 in 63ms (compile: 3ms, render: 60ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 55ms (compile: 4ms, render: 52ms)
 GET /products 200 in 54ms (compile: 1153µs, render: 53ms)
 GET /catalogs 200 in 62ms (compile: 1642µs, render: 60ms)
 GET /products 200 in 62ms (compile: 22ms, render: 40ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 63ms (compile: 9ms, render: 54ms)
 GET /catalogs 200 in 61ms (compile: 1614µs, render: 59ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 61ms (compile: 9ms, render: 52ms)
 GET /products 200 in 54ms (compile: 1305µs, render: 52ms)
 GET /catalogs 200 in 55ms (compile: 2ms, render: 53ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 64ms (compile: 10ms, render: 54ms)
 GET /products 200 in 73ms (compile: 22ms, render: 50ms)
 GET /catalogs 200 in 77ms (compile: 2ms, render: 75ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 78ms (compile: 11ms, render: 67ms)
 GET /products 200 in 67ms (compile: 3ms, render: 64ms)
 GET /catalogs 200 in 63ms (compile: 3ms, render: 59ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 63ms (compile: 16ms, render: 47ms)
 GET /products 200 in 51ms (compile: 11ms, render: 40ms)
 GET /catalogs 200 in 59ms (compile: 2ms, render: 56ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 59ms (compile: 10ms, render: 48ms)
 GET /products 200 in 43ms (compile: 1029µs, render: 42ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 53ms (compile: 10ms, render: 43ms)
 GET /catalogs 200 in 71ms (compile: 4ms, render: 67ms)
 GET /products 200 in 61ms (compile: 8ms, render: 53ms)
 GET /catalogs 200 in 70ms (compile: 2ms, render: 68ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 70ms (compile: 11ms, render: 58ms)
 GET /products 200 in 57ms (compile: 7ms, render: 50ms)
 GET /catalogs 200 in 50ms (compile: 2ms, render: 48ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 51ms (compile: 1437µs, render: 49ms)
 GET /products 200 in 52ms (compile: 9ms, render: 42ms)
 GET /catalogs 200 in 60ms (compile: 1220µs, render: 59ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 60ms (compile: 11ms, render: 49ms)
 GET /products 200 in 60ms (compile: 1577µs, render: 58ms)
 GET /catalogs 200 in 52ms (compile: 2ms, render: 50ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 54ms (compile: 3ms, render: 51ms)
 GET /products 200 in 57ms (compile: 10ms, render: 47ms)
 GET /catalogs 200 in 65ms (compile: 1326µs, render: 64ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 66ms (compile: 10ms, render: 56ms)
 GET /products 200 in 64ms (compile: 1808µs, render: 63ms)
 GET /catalogs 200 in 54ms (compile: 2ms, render: 52ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 44ms (compile: 3ms, render: 41ms)
 GET /products 200 in 54ms (compile: 10ms, render: 44ms)
 GET /catalogs 200 in 43ms (compile: 1430µs, render: 41ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 43ms (compile: 12ms, render: 31ms)
 GET /products 200 in 23ms (compile: 3ms, render: 20ms)
 GET /catalogs 200 in 12ms (compile: 1308µs, render: 11ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 527ms (compile: 166ms, render: 361ms)
 GET /products 200 in 528ms (compile: 208ms, render: 320ms)
 GET /catalogs 200 in 529ms (compile: 232ms, render: 297ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 346ms (compile: 1684µs, render: 344ms)
 GET /products 200 in 347ms (compile: 132ms, render: 215ms)
 GET /catalogs 200 in 309ms (compile: 153ms, render: 156ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 139ms (compile: 4ms, render: 136ms)
 GET /products 200 in 139ms (compile: 15ms, render: 125ms)
 GET /catalogs 200 in 140ms (compile: 26ms, render: 114ms)
 GET /products 200 in 137ms (compile: 1573µs, render: 135ms)
 GET /catalogs 200 in 139ms (compile: 20ms, render: 118ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 123ms (compile: 22ms, render: 101ms)
 GET /products 200 in 113ms (compile: 12ms, render: 100ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 108ms (compile: 35ms, render: 72ms)
 GET /catalogs 200 in 111ms (compile: 25ms, render: 86ms)
 GET /products 200 in 83ms (compile: 3ms, render: 79ms)
 GET /catalogs 200 in 72ms (compile: 5ms, render: 68ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 73ms (compile: 12ms, render: 60ms)
 GET /products 200 in 93ms (compile: 1879µs, render: 91ms)
 GET /catalogs 200 in 95ms (compile: 13ms, render: 82ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 88ms (compile: 20ms, render: 68ms)
 GET /products 200 in 157ms (compile: 2ms, render: 155ms)
 GET /catalogs 200 in 158ms (compile: 16ms, render: 142ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 145ms (compile: 13ms, render: 132ms)
 GET /products 200 in 176ms (compile: 4ms, render: 172ms)
 GET /catalogs 200 in 178ms (compile: 23ms, render: 155ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 141ms (compile: 11ms, render: 130ms)
 GET /products 200 in 104ms (compile: 1555µs, render: 102ms)
 GET /catalogs 200 in 79ms (compile: 7ms, render: 72ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 79ms (compile: 19ms, render: 60ms)
 GET /products 200 in 74ms (compile: 3ms, render: 71ms)
 GET /catalogs 200 in 64ms (compile: 1947µs, render: 62ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 53ms (compile: 1556µs, render: 51ms)
 GET /products 200 in 58ms (compile: 1411µs, render: 57ms)
 GET /catalogs 200 in 61ms (compile: 1813µs, render: 60ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 68ms (compile: 9ms, render: 59ms)
 GET /products 200 in 72ms (compile: 2ms, render: 70ms)
 GET /catalogs 200 in 63ms (compile: 2ms, render: 61ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 66ms (compile: 1456µs, render: 64ms)
 GET /products 200 in 59ms (compile: 3ms, render: 56ms)
 GET /catalogs 200 in 48ms (compile: 1519µs, render: 47ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 58ms (compile: 1834µs, render: 56ms)
 GET /products 200 in 64ms (compile: 3ms, render: 61ms)
 GET /catalogs 200 in 55ms (compile: 2ms, render: 52ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 62ms (compile: 2ms, render: 60ms)
 GET /products 200 in 54ms (compile: 1519µs, render: 53ms)
 GET /catalogs 200 in 44ms (compile: 1152µs, render: 43ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 44ms (compile: 1475µs, render: 43ms)
 GET /products 200 in 64ms (compile: 3ms, render: 61ms)
 GET /catalogs 200 in 64ms (compile: 9ms, render: 55ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 53ms (compile: 1892µs, render: 52ms)
 GET /products 200 in 52ms (compile: 4ms, render: 48ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 53ms (compile: 10ms, render: 43ms)
 GET /catalogs 200 in 55ms (compile: 1509µs, render: 53ms)
 GET /products 200 in 72ms (compile: 3ms, render: 69ms)
 GET /catalogs 200 in 65ms (compile: 2ms, render: 63ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 65ms (compile: 1388µs, render: 63ms)
 GET /products 200 in 64ms (compile: 4ms, render: 59ms)
 GET /catalogs 200 in 62ms (compile: 3ms, render: 59ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 73ms (compile: 9ms, render: 64ms)
 GET /products 200 in 97ms (compile: 1565µs, render: 95ms)
 GET /catalogs 200 in 87ms (compile: 1374µs, render: 86ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 85ms (compile: 1836µs, render: 84ms)
 GET /products 200 in 81ms (compile: 4ms, render: 77ms)
 GET /catalogs 200 in 76ms (compile: 1396µs, render: 74ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 57ms (compile: 4ms, render: 53ms)
 GET /products 200 in 64ms (compile: 2ms, render: 61ms)
 GET /catalogs 200 in 56ms (compile: 1920µs, render: 54ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 56ms (compile: 3ms, render: 53ms)
 GET /products 200 in 56ms (compile: 1823µs, render: 54ms)
 GET /catalogs 200 in 54ms (compile: 1400µs, render: 52ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 55ms (compile: 3ms, render: 53ms)
 GET /products 200 in 63ms (compile: 4ms, render: 59ms)
 GET /catalogs 200 in 53ms (compile: 1253µs, render: 52ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 44ms (compile: 1400µs, render: 43ms)
 GET /products 200 in 46ms (compile: 1965µs, render: 44ms)
 GET /catalogs 200 in 84ms (compile: 1480µs, render: 83ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 76ms (compile: 3ms, render: 73ms)
 GET /products 200 in 92ms (compile: 4ms, render: 88ms)
 GET /catalogs 200 in 83ms (compile: 3ms, render: 81ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 76ms (compile: 1541µs, render: 75ms)
 GET /products 200 in 85ms (compile: 26ms, render: 60ms)
 GET /catalogs 200 in 67ms (compile: 1498µs, render: 66ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 68ms (compile: 11ms, render: 57ms)
 GET /products 200 in 63ms (compile: 3ms, render: 60ms)
 GET /catalogs 200 in 58ms (compile: 4ms, render: 54ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 55ms (compile: 1485µs, render: 54ms)
 GET /products 200 in 57ms (compile: 10ms, render: 47ms)
 GET /catalogs 200 in 62ms (compile: 1786µs, render: 60ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 62ms (compile: 10ms, render: 52ms)
 GET /products 200 in 61ms (compile: 2ms, render: 59ms)
 GET /catalogs 200 in 53ms (compile: 4ms, render: 50ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 47ms (compile: 1313µs, render: 45ms)
 GET /products 200 in 45ms (compile: 1523µs, render: 43ms)
 GET /catalogs 200 in 54ms (compile: 1463µs, render: 52ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 64ms (compile: 10ms, render: 53ms)
 GET /products 200 in 61ms (compile: 2ms, render: 59ms)
 GET /catalogs 200 in 54ms (compile: 3ms, render: 51ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 42ms (compile: 1372µs, render: 41ms)
 GET /products 200 in 35ms (compile: 1977µs, render: 33ms)
 GET /catalogs 200 in 23ms (compile: 1731µs, render: 22ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 24ms (compile: 10ms, render: 14ms)
 GET /products 200 in 173ms (compile: 61ms, render: 112ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 175ms (compile: 86ms, render: 89ms)
 GET /catalogs 200 in 96ms (compile: 29ms, render: 67ms)
 GET /products 200 in 77ms (compile: 3ms, render: 74ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 79ms (compile: 1787µs, render: 77ms)
 GET /catalogs 200 in 80ms (compile: 12ms, render: 67ms)
 GET /products 200 in 85ms (compile: 2ms, render: 83ms)
 GET /recipes?edit=93c0be7e-2011-459f-b741-12bd1135c76b 200 in 86ms (compile: 10ms, render: 76ms)
 GET /catalogs 200 in 77ms (compile: 13ms, render: 64ms)
